"FileName","R","G","B","C","M","Y","K","H","S","B_brightness"
"IMG_4263_MU.JPG",159,173,189,NA,NA,NA,0.258,212.3,0.157,0.742
"IMG_4263_MU.JPG",145,162,178,NA,NA,NA,0.303,208.9,0.183,0.697
